Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,720,309,890,817,938,142
4/10/2022,>25,Male,91,243,932,749,765,79
4/10/2022,15-25,Female,520,620,787,920,113,614
4/10/2022,>25,Female,541,941,670,24,987,90
5/10/2022,15-25,Male,784,368,322,522,475,442
5/10/2022,>25,Male,938,164,248,330,924,720
5/10/2022,15-25,Female,688,185,258,940,90,415
5/10/2022,>25,Female,124,669,900,817,397,485
6/10/2022,15-25,Male,580,553,644,694,350,969
6/10/2022,>25,Male,264,194,912,197,734,511
6/10/2022,15-25,Female,468,849,64,608,52,416
6/10/2022,>25,Female,535,359,759,540,172,254
7/10/2022,15-25,Male,174,690,267,704,228,808
7/10/2022,>25,Male,971,441,190,676,610,963
7/10/2022,15-25,Female,501,500,508,356,808,482
7/10/2022,>25,Female,964,974,982,269,944,669
8/10/2022,15-25,Male,639,953,499,420,54,669
8/10/2022,>25,Male,668,840,228,819,112,368
8/10/2022,15-25,Female,465,461,557,57,173,580
8/10/2022,>25,Female,988,153,703,154,689,23
9/10/2022,15-25,Male,798,780,314,69,270,267
9/10/2022,>25,Male,712,257,935,404,470,883
9/10/2022,15-25,Female,627,15,534,248,730,268
9/10/2022,>25,Female,238,13,803,955,854,937
10/10/2022,15-25,Male,971,346,784,638,481,353
10/10/2022,>25,Male,917,739,680,835,808,25
10/10/2022,15-25,Female,210,679,584,480,695,107
10/10/2022,>25,Female,547,623,405,715,308,213
11/10/2022,15-25,Male,470,659,649,840,297,918
11/10/2022,>25,Male,610,767,976,574,250,504
11/10/2022,15-25,Female,909,246,767,642,807,112
11/10/2022,>25,Female,166,637,968,92,946,430
12/10/2022,15-25,Male,528,557,69,581,250,609
12/10/2022,>25,Male,740,235,992,216,433,365
12/10/2022,15-25,Female,530,639,962,694,72,623
12/10/2022,>25,Female,134,794,476,792,351,843
13/10/2022,15-25,Male,47,963,952,478,666,650
13/10/2022,>25,Male,794,738,439,809,189,602
13/10/2022,15-25,Female,778,877,369,197,490,537
13/10/2022,>25,Female,772,766,835,902,232,276
14/10/2022,15-25,Male,91,520,361,448,123,654
14/10/2022,>25,Male,417,681,113,588,612,514
14/10/2022,15-25,Female,413,94,305,227,336,644
14/10/2022,>25,Female,825,147,644,884,25,210
15/10/2022,15-25,Male,278,375,443,594,656,530
15/10/2022,>25,Male,733,679,93,844,22,324
15/10/2022,15-25,Female,611,352,126,727,430,950
15/10/2022,>25,Female,771,218,243,444,356,342
16/10/2022,15-25,Male,350,192,968,614,173,345
16/10/2022,>25,Male,538,660,447,245,810,775
16/10/2022,15-25,Female,150,177,614,154,874,244
16/10/2022,>25,Female,378,477,45,471,862,544
17/10/2022,15-25,Male,989,701,67,756,665,374
17/10/2022,>25,Male,754,134,66,597,553,668
17/10/2022,15-25,Female,169,139,850,291,92,846
17/10/2022,>25,Female,673,840,914,770,198,275
18/10/2022,15-25,Male,601,975,18,877,643,784
18/10/2022,>25,Male,715,97,123,641,319,653
18/10/2022,15-25,Female,630,520,655,438,683,410
18/10/2022,>25,Female,112,828,579,393,939,188
19/10/2022,15-25,Male,216,377,906,546,913,364
19/10/2022,>25,Male,171,134,537,242,524,822
19/10/2022,15-25,Female,306,85,944,808,469,935
19/10/2022,>25,Female,902,43,861,923,459,883
20/10/2022,15-25,Male,776,607,864,224,219,460
20/10/2022,>25,Male,132,370,724,992,292,85
20/10/2022,15-25,Female,49,256,943,838,383,592
20/10/2022,>25,Female,48,703,764,199,843,507
21/10/2022,15-25,Male,135,558,167,474,526,796
21/10/2022,>25,Male,37,66,889,59,833,637
21/10/2022,15-25,Female,334,513,59,316,275,834
21/10/2022,>25,Female,20,46,370,640,294,172
22/10/2022,15-25,Male,784,771,808,851,691,198
22/10/2022,>25,Male,58,812,57,872,928,268
22/10/2022,15-25,Female,602,698,356,641,515,275
22/10/2022,>25,Female,535,977,794,452,553,958
23/10/2022,15-25,Male,867,102,365,579,78,321
23/10/2022,>25,Male,757,467,83,58,294,714
23/10/2022,15-25,Female,716,988,986,320,302,256
23/10/2022,>25,Female,364,383,375,797,307,624
24/10/2022,15-25,Male,381,863,926,378,217,342
24/10/2022,>25,Male,695,233,887,925,207,700
24/10/2022,15-25,Female,911,719,658,774,927,572
24/10/2022,>25,Female,780,213,740,147,688,8
25/10/2022,15-25,Male,523,69,501,831,952,267
25/10/2022,>25,Male,83,492,266,622,505,873
25/10/2022,15-25,Female,1,888,190,858,838,842
25/10/2022,>25,Female,643,512,269,920,476,497
26/10/2022,15-25,Male,39,673,912,513,672,919
26/10/2022,>25,Male,0,338,721,72,806,325
26/10/2022,15-25,Female,242,130,468,60,265,141
26/10/2022,>25,Female,988,324,69,709,816,861
27/10/2022,15-25,Male,86,561,390,668,98,887
27/10/2022,>25,Male,237,60,850,688,521,5
27/10/2022,15-25,Female,147,215,672,213,309,44
27/10/2022,>25,Female,350,572,505,332,830,259
28/10/2022,15-25,Male,548,919,200,624,800,750
28/10/2022,>25,Male,361,165,67,855,54,908
28/10/2022,15-25,Female,801,584,477,684,874,962
28/10/2022,>25,Female,45,757,955,241,760,151
29/10/2022,15-25,Male,974,19,443,280,79,635
29/10/2022,>25,Male,162,938,577,213,382,561
29/10/2022,15-25,Female,659,294,34,442,557,736
29/10/2022,>25,Female,20,618,519,751,930,428
